"Proper Winery, US",United States,"[37.09024, -95.712891]"
"La Braccesca Winery, Italy","Via Stella di Valiano, 10, 53045 Montepulciano SI, Italy","[43.165825, 11.9549007]"
"La Poderina Winery, Italy","Localita' Poderina, 53024 Castelnuovo dell'Abate SI, Italy","[43.0077974, 11.5305369]"
"Mercer Canyons Winery, US","46 Sonova Rd, Prosser, WA 99350, USA","[45.8790284, -119.8985351]"
"Mont-Ferrant Winery, Spain","Camí de Can Garra s/n, 08391 Tiana, Barcelona, Spain","[41.474212, 2.273264]"
"Noble Vines Winery, US","214 St Helena Hwy, St Helena, CA 94574, USA","[38.491961, -122.4535917]"
"Avalon Winery, US","19203 Old U.S. 40, Higginsville, MO 64037, USA","[39.0003838, -93.75373160000001]"
"Cedar View Winery, US","9581, 1384 S Frankwood Ave, Sanger, CA 93657, United States","[36.7136795, -119.448063]"
"Château de Corcelles Winery, France","69220 Corcelles-en-Beaujolais, France","[46.1624591, 4.7158762]"
"Quinta das Bandeiras Winery, Portugal","Quinta de la Rosa 215, Pinhão, Portugal","[41.182311, -7.552530999999999]"
"Quinta do Pinto Winery, Portugal","Quinta Do Anjo, Aldeia Galega Da Merceana, Lisboa, Portugal","[39.0820899, -9.112569299999999]"
"Pujanza Winery, Spain","Elvillar Errepidea, s/n, 01300 Guardia, Araba, Spain","[42.5610978, -2.576837]"
"Roar Winery, US","493 Brewer Mill Rd, Traphill, NC 28685, USA","[36.3182562, -81.0504223]"
"Domaine des Baumard Winery, France","8 Rue de l'Abbaye, 49190 Rochefort-sur-Loire, France","[47.3564111, -0.6525841]"
"Paul Jaboulet Aîné Winery, France","25 Place du Taurobole, 26600 Tain-l'Hermitage, France","[45.07071759999999, 4.837032199999999]"
"Villa S. Anna Winery, Italy","Italien, Via della Resistenza, 143, 53045 Abbadia SI, Italy","[43.14649989999999, 11.8239776]"
"Louis Sipp Winery, France","5 Grand'Rue, 68150 Ribeauville, France","[48.193187, 7.323601999999999]"
"San Giusto a Rentennano Winery, Italy","Località San Giusto a Rentennano, 53013 Gaiole In Chianti SI, Italy","[43.3704392, 11.4221764]"
"Black Coyote Winery, US","9564 N 429 Rd, Adair, OK 74330, USA","[36.4456826, -95.36289909999999]"
"Domaine Ehrhart Winery, France","34 Route d'Eguisheim, 68920 Wettolsheim, France","[48.0584989, 7.3058403]"
"Domaine de Fondrèche Winery, France","2589 Route de Saint-Pierre de Vassols, 84380 Mazan, France","[44.08271449999999, 5.135078399999999]"
"Antico Colle Winery, Italy","Via Provinciale Montepulciano, 9, 53045 Montepulciano SI, Italy","[43.120553, 11.822405]"
"Wine & Soul Winery, Portugal","5085 Pinhão, Portugal","[41.22175540000001, -7.5330414]"
"Istine Winery, Italy","Via Roma, 11, 53017 Radda in Chianti SI, Italy","[43.4907483, 11.3274674]"
"Joseph Fritsch Winery, France","17 Route du Vin, 68240 Kaysersberg-Vignoble, France","[48.1371542, 7.2770457]"
"Retro Winery, US","1955 Summit Lake Dr, Angwin, CA 94508, USA","[38.5983585, -122.45947]"
"Bibbiano Winery, Italy","Via R. Franchetti, 35, 42021 Bibbiano RE, Italy","[44.6709281, 10.4647651]"
"Castellinuzza e Piuca Winery, Italy","n. Greve in Chianti, Località Petriolo, 21A, 50022 Castellinuzza FI, Italy","[43.559076, 11.348576]"
"Domaine Schoffit Winery, France","68 Nonnenholz Weg, 68000 Colmar, France","[48.0656159, 7.3743246]"
"Gary Farrell Winery, US","10701 Westside Rd, Healdsburg, CA 95448, USA","[38.5073594, -122.8973961]"
"Ocone Winery, Italy","Via Monte, Località la Madonnella, 82030 Ponte BN, Italy","[41.22253500000001, 14.694771]"
"Round Pond Winery, US","875 Rutherford Rd, Napa, CA 94558, USA","[38.464276, -122.404404]"
"Bernard Baudry Winery, France","9 Les Coteaux de Sonnay, 37500 Cravant-les-Côteaux, France","[47.160439, 0.332553]"
"Charles Joguet Winery, France","La Dioterie, 37220 Sazilly, France","[47.13135200000001, 0.340404]"
"Château d'Epire Winery, France","Rue de l'Ancienne Église, 49170 Savennières, France","[47.3983666, -0.6335100000000001]"
"Domus Aurea Winery, Chile","Av. Consistorial 5900, Penalolen, Peñalolén, Región Metropolitana, Chile","[-33.4989585, -70.5517041]"
"Tudal Winery, US","1015 Big Tree Rd, St Helena, CA 94574, USA","[38.54887, -122.50348]"
"Viader Winery, US","1120 Deer Park Rd, Deer Park, CA 94576, USA","[38.559242, -122.47352]"
"Zotovich Cellars Winery, US","300 N 12th St building 1 d, Lompoc, CA 93436, USA","[34.6430616, -120.4352374]"
"Domaine Huët Winery, France","11 Rue de la Croix Buisée, 37210 Vouvray, France","[47.4136563, 0.8083855999999999]"
"Donelan Winery, US","3352 Coffey Ln D, Santa Rosa, CA 95403, USA","[38.4718027, -122.7435125]"
"Beckmen Winery, US","2670 Ontiveros Rd, Los Olivos, CA 93441, USA","[34.6463913, -120.1100126]"
"Viento Winery, US","301 Country Club Rd, Hood River, OR 97031, USA","[45.7085973, -121.5599758]"
"Wine Spots Winery, US","4686 Broadway Blvd, Kansas City, MO 64112, USA","[39.042571, -94.5917243]"
"Elyse Winery, US","2100 Hoffman Ln, Napa, CA 94558, USA","[38.3835544, -122.3544446]"
"Masciarelli Winery, Italy","Contrada Gamberale 1, 66010 San Martino Sulla Marrucina CH, Italy","[42.215658, 14.219503]"
"Castle Rock Winery, US","Vineyard Dr, Castle Rock, CO 80104, USA","[39.3603902, -104.8366966]"
"Château Moncontour Winery, France","Rue de Moncontour, 37210 Vouvray, France","[47.41146819999999, 0.7840832999999999]"
"Derbes Winery, US","10520 Wohler Rd, Healdsburg, CA 95448, USA","[38.4980851, -122.8776367]"
"Frog's Leap Winery, US","8815 Conn Creek Rd, Rutherford, CA 94573, USA","[38.4740852, -122.4023717]"
"Hellbent Winery, Australia",Australia,"[-25.274398, 133.775136]"
"Sesti Winery, Italy","Castello di Argiano, 53024 Montalcino SI, Italy","[42.98484, 11.422561]"
"Las Colinas Del Ebro Winery, Spain","Ebro, Spain","[41.8479322, -1.6576463]"
"Avery Lane Winery, US","Avery Ln, Roseville, CA 95747, USA","[38.7391826, -121.3381409]"
"Beltane Ranch Winery, US","11775 Sonoma Hwy, Glen Ellen, CA 95442, USA","[38.3919429, -122.5201538]"
"Bodegas Docampo Winery, Spain","Calle Sampaio, s/n, 32400 Ribadavia, Ourense, Spain","[42.3029905, -8.1206037]"
"Domaine Henry Pellé Winery, France","18220 Morogues, France","[47.2402753, 2.5959433]"
"Enkidu Winery, US","21481 8th St E, Sonoma, CA 95476, USA","[38.26238499999999, -122.4421533]"
"Valle de Salinas Winery, Spain","Salinas, CA, USA","[36.6777372, -121.6555013]"
"Villa San Juliette Winery, US","6385 Cross Canyons Rd, San Miguel, CA 93451, USA","[35.7494969, -120.6152982]"
"Plaisance Ranch Winery, US","16955 Water Gap Rd, Williams, OR 97544, USA","[42.24195460000001, -123.2720098]"
"Poggiobello Winery, Italy","Località Poggiobello, 12, 33044 Oleis UD, Italy","[46.020824, 13.412968]"
"Primosic Winery, Italy","Località Madonnina di Oslavia, 3, 34170 Oslavia GO, Italy","[45.979915, 13.610953]"
"Quinta da Romeira Winery, Portugal","Quinta da Romeira de Cima, 2670-678 Bucelas, Portugal","[38.903224, -9.082713]"
"Roche Winery, US","122 W Spain St, Sonoma, CA 95476, USA","[38.29407, -122.459148]"
"Ronco dei Tassi Winery, Italy","Str. della Montona, 19, 34071 Cormons GO, Italy","[45.9674686, 13.4859324]"
"Sauvion Winery, France","44330 Vallet, France","[47.164528, -1.271625]"
"La Rajade Winery, Italy","Loc. Restocina, 34070 Dolegna del Collio GO, Italy","[46.0360636, 13.4969955]"
"La Tunella Winery, Italy","Via del Collio, 14, 33040 Premariacco UD, Italy","[46.0397227, 13.437443]"
"Louis de Grenelle Winery, France","839 Rue Marceau, 49400 Saumur, France","[47.2508632, -0.07533179999999999]"
"Meadowcroft Winery, US","/Hwy. 121, suite Meadowcroft wines, 23574 Arnold Drive, Sonoma, CA 95476, United States","[38.2277279, -122.457926]"
"Monteviejo Winery, Argentina","Clodomiro Silva, M5665BPA Vista Flores, Mendoza, Argentina","[-33.666979, -69.19416199999999]"
"Sarah's Vineyard, US","4005 Hecker Pass Hwy, Gilroy, CA 95020, USA","[37.0137906, -121.64479]"
"Tenuta di Angoris Winery, Italy","Località Angoris, 7, 34071 Cormons GO, Italy","[45.93754999999999, 13.4601862]"
"Don Cristobal 1492 Winery, Argentina","399 Lafayette St, New York, NY 10003, USA","[40.727941, -73.99285499999999]"
"Finca El Origen Winery, Argentina","Gambarte F. 220, Godoy Cruz, Mendoza, Argentina","[-32.909541, -68.840857]"
"Glen Ellen Winery, US","14347 CA-12, Glen Ellen, CA 95442, USA","[38.359234, -122.500761]"
"Manzanita Creek Winery, US","1441 Grove St, Healdsburg, CA 95448, USA","[38.629924, -122.8768504]"
"Montepio Winery, Argentina",Argentina,"[-38.416097, -63.61667199999999]"
"Notro Winery, Argentina","Ruta Provincial 15 km 23, 5509 Perdriel - Lujan de Cuyo, Mendoza, Argentina","[-33.0884808, -68.8875281]"
"Ochoa Winery, Spain","Calle de Miranda de Arga, 35, 31390 Olite, Navarra, Spain","[42.4850305, -1.6579216]"
"Starmont Winery, US","1451 Stanly Ln, Napa, CA 94559, USA","[38.2446476, -122.2933888]"
"Brophy Clark Winery, US","6785 Creston Rd, Paso Robles, CA 93446, USA","[35.571494, -120.57424]"
"Caligiore Winery, Argentina","Ruta Provincial 86 km 1, 5509 Ugarteche, Luján de Cuyo, Mendoza, Argentina","[-33.1996306, -68.9003373]"
"Cedar Mountain Winery, US","10843 Reuss Rd, Livermore, CA 94550, USA","[37.6613027, -121.6588103]"
"Concannon Winery, US","4590 Tesla Rd, Livermore, CA 94550, USA","[37.66621689999999, -121.7397362]"
"Solar de Urbezo Winery, Spain","Calle San Valero, 14, 50400 Cariñena, Zaragoza, Spain","[41.3406398, -1.2203313]"
"Adega Cooperativa Ponte de Barca Winery, Portugal","Avenida Fernão Magalhães Agrelos, 4980-601 Pte. da Barca, Portugal","[41.8007125, -8.415129799999999]"
"Fattoria di Casalbosco Winery, Italy","Via Montalese, 171, 51100 Pistoia PT, Italy","[43.93616979999999, 10.9994588]"
"Jarvis Winery, US","2970 Monticello Rd, Napa, CA 94558, USA","[38.3571756, -122.2123295]"
"Kingston Family Winery, Chile","Hijuela El Maitén S/N, Casablanca, Región de Valparaíso, Chile","[-33.317081, -71.460571]"
"Loimer Winery, Austria","Haindorfer Vögerlweg 23, 3550 Langenlois, Austria","[48.4820775, 15.6824926]"
"M by Michael Mondavi Winery, US","1907 N Kelly Rd, Napa, CA 94558, USA","[38.2315007, -122.2580574]"
"Margerum Winery, US","813 Anacapa St, Santa Barbara, CA 93101, USA","[34.4206761, -119.6993188]"
"Pedroncelli Winery, US","1220 Canyon Rd, Geyserville, CA 95441, USA","[38.70559410000001, -122.9394884]"
"Pietro Beconcini Winery, Italy","Via Montorzo, 13A, 56028 San Miniato PI, Italy","[43.687675, 10.8803159]"
"Boekenhoutskloof Winery, South Africa","Excelsior Rd, Franschhoek, 7690, South Africa","[-33.9426689, 19.1078838]"
"Château Cambon la Pelouse Winery, France","5 Chemin de Canteloup, 33460 Macau, Margaux, France","[45.000643, -0.6289319999999999]"
"Château Lilian Ladouys Winery, France","Blanquet, 33180 Saint-Estèphe, France","[45.2333736, -0.7918404000000001]"
"Corison Winery, US","987 St Helena Hwy, St Helena, CA 94574, USA","[38.4849718, -122.4473587]"
"Nicolis Winery, Italy","29, Via Villa Girardi, 37029 San Pietro in Cariano VR, Italy","[45.5272, 10.88378]"
"Covey Run Winery, US","Covey Run, Naples, FL 34109, USA","[26.2697097, -81.7584536]"
"Bearboat Winery, US","8268 Cople Hwy, Hague, VA 22469, USA","[38.071925, -76.65757099999999]"
"Spy Valley Winery, New Zealand","37 Lake Timara Road West, RD 6, Blenheim 7276, New Zealand","[-41.529784, 173.795641]"
"Jurtschitsch Winery, Austria","Rudolfstraße 39, 3550 Langenlois, Austria","[48.471992, 15.672196]"
"Valdinera Winery, Italy","Via Camillo Benso Conte di Cavour, 1, 12040 Corneliano d'Alba CN, Italy","[44.7360614, 7.9614549]"
"Renato Ratti Winery, Italy","Frazione Annunziata, 7, 12064 La Morra CN, Italy","[44.63605039999999, 7.954834099999999]"
"Pertinace Winery, Italy","Località Pertinace, 2/5, 12050 Treiso CN, Italy","[44.7019268, 8.0655313]"
"Seia Winery, US","7683 SE 27th St, Mercer Island, WA 98040, USA","[47.5863752, -122.2355779]"
"Kindred Winery, US","3575 Conicville Rd, Mt Jackson, VA 22842, USA","[38.797811, -78.653441]"
"Familia Schroeder Winery, Argentina","3 E, EDIFICIO SANTO DOMINGO, Sta Fe 269, 8300 Neuquén, Argentina","[-38.952337, -68.056046]"
"Il Falchetto Winery, Italy","12058 santo, Località Valle Tinella, 16, 12058 Santo Stefano Belbo CN, Italy","[44.7219221, 8.221593499999999]"
"Señorío de Caleruega Winery, Spain","Carretera Pinoso, 3, 30510 Yecla, Murcia, Spain","[38.5878731, -1.0804785]"
"Telmo Rodríguez Winery, Spain","01308 Lantziego, Álava, Spain","[42.5472241, -2.5072113]"
"Breaux Winery, US","36888 Breaux Vineyards Ln, Purcellville, VA 20132, USA","[39.2317734, -77.7266831]"
"Château Henri Bonnaud Winery, France","585 Chemin de la Poudrière, 13100 Le Tholonet, France","[43.5095492, 5.5247756]"
"Château la Gordonne Winery, France","Route de Cuers, 83390 Pierrefeu-du-Var, France","[43.2246201, 6.1286267]"
"Contrada Michele Winery, Italy","Str. Circonvallazione, 17, 39057 Appiano sulla strada del vino BZ, Italy","[46.453221, 11.269234]"
"Coronica Winery, Croatia","Koreniki 86, 52470, Umag, Croatia","[45.401473, 13.571909]"
"Dr. Konstantin Frank Winery, US","9749 Middle Rd, Hammondsport, NY 14840, USA","[42.473507, -77.1840331]"
"Argento Winery, Argentina","Juan de la Cruz Videla S/N Cruz de Piedra, Maipú, Mendoza, Argentina","[-33.039421, -68.7784301]"
"Llopart Winery, Spain","Carretera de Sant Sadurní a Ordal, Km 4, 08739 Els Casots, Barcelona, Spain","[41.4079372, 1.8038393]"
"Maimai Winery, New Zealand","45 Sears Rd, Hawke's Bay 4183, New Zealand","[-39.5547855, 176.8999134]"
"Masseria Felicia Winery, Italy","SP 104 - Loc. San Terenzano - Frazione Carano, 81037 Sessa Aurunca CE, Italy","[41.217597, 13.913562]"
"Miloš Winery, Croatia","Boljenovići 15, 20230, Ston, Croatia","[42.848593, 17.62476]"
"Pedro Escudero Winery, Spain","Ctra. Pozaldez, sn, 47491 La Seca, Valladolid, Spain","[41.409046, -4.899699]"
"Raats Family Winery, South Africa","Raats Family Wines, Vlaeberg Rd, Stellenbosch, Cape Town, 7601, South Africa","[-33.9715529, 18.7482468]"
"Radford Dale Winery, South Africa","R44, Farm Rust en Vrede no 1322, Opposite Eikendal, Stellenbosch, Cape Town, 7600, South Africa","[-34.016211, 18.81752]"
"Sanpaolo Winery, Italy","Contrada San Paolo, 83042 Torrioni AV, Italy","[41.0228525, 14.8218828]"
"Ammunition Winery, US","21481 8th St E #30a, Sonoma, CA 95476, USA","[38.26205, -122.4420355]"
"Cave de Bissey Winery, France","14 Rue des Millerands, 71390 Bissey-sous-Cruchaud, France","[46.731125, 4.68701]"
"Damsel Winery, US","18744 142nd Ave NE, Woodinville, WA 98072, USA","[47.7635532, -122.1493914]"
"Domaine des Cognettes Winery, France","25 Route de Saint-Crespin, 44190 Clisson, France","[47.09796859999999, -1.2520154]"
"Domaine Julie Belland Winery, France","3 Rue de la Chapelle, 21590 Santenay, France","[46.912387, 4.695042]"
"Domaine les Pins Winery, France","120 rue de, La Piat, 71570 Saint-Amour-Bellevue, France","[46.23648499999999, 4.7451135]"
"Fattori Winery, Italy","Via Olmo, 27, 37030 Terrossa VR, Italy","[45.4603992, 11.319261]"
"Inama Winery, Italy","Località Biacche, 50, 37047 San Bonifacio VR, Italy","[45.3818513, 11.2874544]"
"Karma Vineyards, US","1681 S Lakeshore Rd, Chelan, WA 98816, USA","[47.847929, -120.1152]"
"Kiona Winery, US","44612 N Sunset Rd, Benton City, WA 99320, USA","[46.2764972, -119.4528971]"
"Tranche Winery, US","705 Berney Dr, Walla Walla, WA 99362, USA","[46.0630476, -118.2843726]"
"Trust Winery, US","243 Healdsburg Ave, Healdsburg, CA 95448, USA","[38.6098649, -122.8707127]"
"Whitecliff Vineyard, US","331 Mckinstry Rd, Gardiner, NY 12525, USA","[41.6867168, -74.2013249]"
"Wine Man Winery, Georgia","6469 Battlefield Pkwy, Ringgold, GA 30736, USA","[34.9301151, -85.1570126]"
"Zuccardi Winery, Argentina","Ruta Prov 33 km 7,5, M5531 Maipú, Mendoza, Argentina","[-32.9700846, -68.5653305]"
"Bouza Winery, Uruguay","Camino La Redencion 7658, 12500 Montevideo, Uruguay","[-34.791218, -56.276567]"
"Chakana Winery, Argentina","Calle Baldini 16197, 5509 Lujan de Cuyo, Mendoza, Argentina","[-33.1755617, -68.9204211]"
"Twomey Winery, US","1183 Dunaweal Ln, Calistoga, CA 94515, USA","[38.5658807, -122.5567184]"
"Ty Caton Winery, US","21684 8th St E # 460, Sonoma, CA 95476, USA","[38.260285, -122.436844]"
"W.T. Vintners Winery, US","19495 144th Ave NE Ste. B210, Woodinville, WA 98072, USA","[47.7687289, -122.1501366]"
"Waters Crest Winery, US","28735 Main Rd, Cutchogue, NY 11935, USA","[41.012253, -72.48456399999999]"
"Miraflores Winery, US","2120 Four Springs Trail, Placerville, CA 95667, USA","[38.677749, -120.638405]"
"Ridgeview Estate Winery, England","Fragbarrow Lane, Ditchling Common BN6 8TP, United Kingdom","[50.943397, -0.109636]"
"Robert Renzoni Winery, US","37350 De Portola Rd, Temecula, CA 92592, USA","[33.5109, -117.0185419]"
"Roth Winery, US","10309 Chalk Hill Rd, Healdsburg, CA 95448, USA","[38.5706591, -122.777366]"
"Seghesio Winery, US","700 Grove St, Healdsburg, CA 95448, USA","[38.617474, -122.875363]"
"Henri Bourgeois Winery, France","Chavignol, 18300, France","[47.33766989999999, 2.7955841]"
"Holly's Hill Winery, US","3680 Leisure Ln, Placerville, CA 95667, USA","[38.6758533, -120.6967764]"
"Kathryn Kennedy Winery, US","13180 Pierce Rd, Saratoga, CA 95070, USA","[37.2767234, -122.0370628]"
"Keating Winery, US","23564 Arnold Dr, Sonoma, CA 95476, USA","[38.22746890000001, -122.4576299]"
"Locus Winery, US","2870 W State St, Boise, ID 83702, USA","[43.6327821, -116.2243028]"
"B.R. Cohn Winery, US","15000 Sonoma Hwy, Glen Ellen, CA 95442, USA","[38.349362, -122.501764]"
"Bodegas San Valero Winery, Spain","Av. del Ejército, 40, 50400 Cariñena, Zaragoza, Spain","[41.3348792, -1.2268289]"
"Cantina di Bertiolo Winery, Italy","Via Madonna, 27, 33032 Bertiolo UD, Italy","[45.942764, 13.037552]"
"Casa de Vila Nova Winery, Portugal","Rua de Vila Nova, 4560 Porto, Portugal","[41.23395010000001, -8.194816099999999]"
"Treasure Winery, US","9983 N US-259, Broken Bow, OK 74728, USA","[34.1612865, -94.7588062]"
"Truett Hurst Winery, US","5610 Dry Creek Rd, Healdsburg, CA 95448, USA","[38.680138, -122.942101]"
"Artesana Winery, Uruguay","48, Departamento de Canelones, Uruguay","[-34.6713163, -56.3715939]"
"Beaucanon Winery, US","1006 Monticello Rd, Napa, CA 94558, USA","[38.3297936, -122.2750946]"
"Campolargo Winery, Portugal","bairro 3780, Estr. São Lourenço do Bairro 43, Portugal","[40.4480802, -8.4879654]"
"Duorum Winery, Portugal","Vila Santa s/n, 7100-149 Estremoz, Portugal","[38.8402416, -7.628929299999999]"
"Lasseter Winery, US","1 Vintage Ln, Glen Ellen, CA 95442, USA","[38.383204, -122.524836]"
"Leonard Kreusch Winery, Germany","Martinerfeld 61, 54294 Trier, Germany","[49.75964, 6.6271]"
"Liberated Winery, US","10587 E, US-290, Fredericksburg, TX 78624, United States","[30.222548, -98.721824]"
"Donnafugata Winery, Italy","Via Sebastiano Lipari, 18, 91025 Marsala TP, Italy","[37.788162, 12.446616]"
"Eagle Ridge Winery, US","10017 Tesla Rd, Livermore, CA 94550, USA","[37.653502, -121.672361]"
"En Garde Winery, US","9077 Sonoma Hwy, Kenwood, CA 95452, USA","[38.4179366, -122.5500926]"
"Fontanafredda Winery, Italy","Via B. Osoppo, 174, 33074 Fontanafredda PN, Italy","[45.975218, 12.5256693]"
"Billecart-Salmon Winery, France","40 Rue Carnot, 51160 Mareuil-sur-Ay, France","[49.0459358, 4.036411500000001]"
"Boizel Winery, France","46 Avenue de Champagne, 51200 Épernay, France","[49.041922, 3.965781]"
